Render,								Description
bullpen_c_desk_note_01,				Cal standing at desk looking down at drawing coffee
bullpen_c_desk_sigh_01,				Cal leaned back arms crossed
bullpen_c_desk_sigh_02,				Cal hand on mouse and keyboard head down
bullpen_c_desk_standing_01,			Cal standing at his desk
bullpen_c_enter_01,					Cal entering bullpen
bullpen_c_mark_documents_01,		Cal with documents on desk one in hand and pen in hand
bullpen_c_mouse_click_01,			Cal with hand on mouse
bullpen_c_sit_back_done_01,			Cal leaned back in chair with hands behind head
bullpen_c_typing_error_01,			Cal hitting backspace on his keyboard agressively
bullpen_c_typing_focus_01,			Cal leaned toward monitor slightly with hands on keyboard
bullpen_c_desk_typing_01,			Cal typing on keyboard at desk
bullpen_c_return_01,				Cal walking toward desk from breakroom
bullpen_c_desk_note_02,				Version drawing is daydream
bullpen_c_desk_smile_01,			Cal sitting at his desk with a smile facing computer

##Break Room
breakroom_cn_enter_01,				Cal Naomi enter the breakroom
breakroom_cn_sit_01,				Cal Naomi sitting in breakroom
breakroom_c_smile_01,				Cal sitting in breakroom smiling
breakroom_n_smile_01,				Naomi sitting in breakroom smiling
breakroom_cn_eat_01,				Cal Naomi same position as sit but with lunch
breakroom_c_facepalm_01,			Cal facepalming
breakroom_c_sigh_01,				Cal sitting with lunch head down
breakroom_cf_enter_01,				Cal Frank entering
breakroom_cf_soup_sip_01,			Cal sitting with lunch Frank sipping soup
breakroom_cf_story_gesture_01,		Cal standing Frank gesturing with both arms mouth open 
breakroom_cf_story_grin_01,			Cal sitting with lunch Frank grinning soup in hand
breakroom_cf_story_laugh_01,		Cal sitting lunch Frank laughing
breakroom_cf_story_start_01,		Cal Frank facing each other
breakroom_c_enter_01,				Cal entering breakroom
breakroom_c_sit_01,					Cal sitting with lunch
breakroom_c_table_think_01,			Cal at table staring into space
breakroom_c_table_lean_01,			Cal leaning over table with lunch
breakroom_c_table_stare_01,			Cal leaning back in chair staring at table
breakroom_c_sit_02,					Version different angle and different posture (for variety)

##Meeting Room


##Office


